,col_name,feature_importance_vals
194,"tBodyGyroJerk-arCoeff()-Z,2",11.6633939743042
431,fBodyGyro-mad()-Z,11.544119834899902
478,"fBodyGyro-bandsEnergy()-33,40.1",10.95872974395752
198,"tBodyGyroJerk-correlation()-X,Z",10.381368637084961
228,tBodyAccJerkMag-mad(),9.83604621887207
155,"tBodyGyro-arCoeff()-Z,3",9.786749839782715
276,fBodyAcc-max()-Z,9.759147644042969
400,"fBodyAccJerk-bandsEnergy()-41,48.1",9.679579734802246
452,fBodyGyro-meanFreq()-Y,9.617387771606445
292,fBodyAcc-maxInds-Z,9.580541610717773
456,fBodyGyro-skewness()-Y,9.484697341918945
4,tBodyAcc-std()-Y,9.458016395568848
145,"tBodyGyro-arCoeff()-X,1",9.05082893371582
291,fBodyAcc-maxInds-Y,8.875568389892578
64,tGravityAcc-entropy()-Z,8.627192497253418
460,"fBodyGyro-bandsEnergy()-1,8",8.575936317443848
355,fBodyAccJerk-max()-Z,8.534839630126953
95,tBodyAccJerk-sma(),8.520059585571289
93,tBodyAccJerk-min()-Y,8.507293701171875
106,"tBodyAccJerk-arCoeff()-X,2",8.429299354553223
128,tBodyGyro-mad()-Z,8.385226249694824
48,tGravityAcc-mad()-Z,8.252707481384277
538,fBodyBodyGyroMag-meanFreq(),8.214395523071289
117,"tBodyAccJerk-correlation()-X,Y",8.123984336853027
55,tGravityAcc-sma(),8.04014778137207
488,"fBodyGyro-bandsEnergy()-1,8.2",7.959169387817383
182,tBodyGyroJerk-entropy()-X,7.893784046173096
47,tGravityAcc-mad()-Y,7.5657124519348145
345,fBodyAccJerk-mean()-Y,7.2672438621521
455,fBodyGyro-kurtosis()-X,6.921281337738037
63,tGravityAcc-entropy()-Y,6.886262893676758
492,"fBodyGyro-bandsEnergy()-33,40.2",6.527332782745361
72,"tGravityAcc-arCoeff()-Y,4",6.417879581451416
170,tBodyGyroJerk-max()-Y,6.363672733306885
363,fBodyAccJerk-iqr()-X,6.248945236206055
468,"fBodyGyro-bandsEnergy()-1,16",6.141812801361084
44,tGravityAcc-std()-Y,6.128981590270996
445,fBodyGyro-entropy()-X,6.106215000152588
45,tGravityAcc-std()-Z,6.052057266235352
487,"fBodyGyro-bandsEnergy()-25,48.1",5.926525115966797
446,fBodyGyro-entropy()-Y,5.779850482940674
349,fBodyAccJerk-std()-Z,5.776332378387451
485,"fBodyGyro-bandsEnergy()-49,64.1",5.6641387939453125
122,tBodyGyro-mean()-Z,5.517845153808594
382,"fBodyAccJerk-bandsEnergy()-9,16",5.507353782653809
437,fBodyGyro-min()-Z,5.494210720062256
551,fBodyBodyGyroJerkMag-meanFreq(),5.440670967102051
10,tBodyAcc-max()-Y,5.297493934631348
300,fBodyAcc-skewness()-Z,5.281680583953857
248,tBodyGyroMag-arCoeff()1,5.266953945159912
358,fBodyAccJerk-min()-Z,5.204883575439453
545,fBodyBodyGyroJerkMag-min(),4.905426979064941
39,"tBodyAcc-correlation()-Y,Z",4.886723518371582
7,tBodyAcc-mad()-Y,4.768622875213623
512,fBodyAccMag-meanFreq(),4.670260429382324
144,tBodyGyro-entropy()-Z,4.615884304046631
463,"fBodyGyro-bandsEnergy()-25,32",4.565112113952637
143,tBodyGyro-entropy()-Y,4.459148406982422
421,"fBodyAccJerk-bandsEnergy()-1,24.2",4.398552417755127
293,fBodyAcc-meanFreq()-X,4.337707996368408
124,tBodyGyro-std()-Y,4.238536357879639
118,"tBodyAccJerk-correlation()-X,Z",4.025734901428223
388,"fBodyAccJerk-bandsEnergy()-57,64",3.9888525009155273
343,"fBodyAcc-bandsEnergy()-25,48.2",3.888532876968384
540,fBodyBodyGyroMag-kurtosis(),3.872161626815796
483,"fBodyGyro-bandsEnergy()-17,32.1",3.824692726135254
103,tBodyAccJerk-entropy()-Y,3.7992708683013916
443,fBodyGyro-iqr()-Y,3.7241337299346924
207,tBodyAccMag-iqr(),3.6503469944000244
271,fBodyAcc-mad()-X,3.4640896320343018
265,fBodyAcc-mean()-X,3.348813056945801
529,fBodyBodyGyroMag-std(),3.345684766769409
294,fBodyAcc-meanFreq()-Y,3.2902603149414062
491,"fBodyGyro-bandsEnergy()-25,32.2",3.2763116359710693
133,tBodyGyro-min()-Y,3.2134850025177
131,tBodyGyro-max()-Z,3.2048532962799072
539,fBodyBodyGyroMag-skewness(),3.1985299587249756
404,"fBodyAccJerk-bandsEnergy()-17,32.1",3.192932605743408
241,tBodyGyroMag-mad(),3.1845109462738037
370,fBodyAccJerk-maxInds-Y,3.1207425594329834
311,"fBodyAcc-bandsEnergy()-17,32",2.985079765319824
